country,competition,teams
Англія,Прем'єр-ліга,"Арсенал
Манчестер Сіті
Ліверпуль
Астон Вілла
Тоттенгем
Манчестер Юнайтед
Ньюкасл Юнайтед
Брайтон
Вест Гем
Челсі
Брентфорд
Вулвергемптон
Кристал Пелес
Ноттінгем
Фулгем
Борнмут
Лутон
Шеффілд Юнайтед
Евертон
Бернлі"
Англія,Чемпіоншип,"Лестер
Іпсвіч
Лідс
Саутгемптон
Вест Бромвіч
Престон
Кардіфф
Халл
Сандерленд
Блекберн
Бристоль Сіті
Мідлсбро
Норвіч
Бірмінгем
Вотфорд
Сток Сіті
Свонсі
Міллволл
Плімут
Ковентрі
Хаддерсфілд
Ротергем
КПР
Шеффілд Венсдей"
Англія,Перша Ліга,"Болтон
Портсмут
Оксфорд Юнайтед
Стівенедж
Пітерборо
Дербі
Блекпул
Барнслі
Лінкольн
Чарльтон
Бристоль Роверс
Шрусбері
Віком
Лейтон Орієнт
Нортгемптон
Кембридж Юнайтед
Бертон
Віган
Порт Вейл
Ексетер
Флітвуд
Карлайл
Челтнем
Редінг"
Австрія,Бундесліга,"Зальцбург
Штурм Грац
ЛАСК
Хартберг
А. Клагенфурт
Вольфсберг
Рапід Відень
Аустрія Відень
БВ Лінц
Альтах
ВСГ Сваровскі
Аустрія Лустенау"
Австрія,2.Ліга,"Грацер АК
Брегенц
Рід
Флорідсдорфер
Фірст Відень
Леобен
Санкт-Пельтен
Штріпфінг
Капфенберг
Хорн
Лафніц
Адміра
Ліферінг
Штурм Грац (Am)
Дорнбірн
Амштеттен"
Азербайджан,"Прем'єр-ліга
","Карабах
Зіра
Сумгаїт
Сабаїл
Араз
Нефтчі Баку
Сабах Баку
Туран
Габала
Кяпаз"
Азербайджан,І Ліга,"МОІК Баку
Локбатан
Іраван
Карван
Шамахи
Імішли ФК
Загатала
Мінгечаур
Араз Саатлі
Діфай Агсу"
Албанія,Суперліга,"КФ Егнатія
Партизані
ФК Тирана
Скендербеу
Динамо Тирана
Ерзені
Лачі
Влазнія
Кукесі
Теута"
Англія,Друга Ліга,"Стокпорт
Рексем
Менсфілд
Крю
Барроу
Ноттс Каунті
Аккрингтон
Вімблдон
Гіллінгем
Свіндон
Кроулі
Моркем
Мілтон Кінз Донз
Бредфорд
Харрогейт
Ньюпорт
Солфорд
Волсолл
Донкастер
Колчестер
Грімсбі
Транмер
Форест Грін
Саттон"
Аргентина,Прімера,"Рівер Плейт
Тальєрес Кордоба
Сан-Лоренсо
Ланус
Естудіантес Л.-П.
Дефенса і Хустісія
Бока Хуніорс
Росаріо Сентраль
Годой Крус
Архентинос Хун.
Атлетіко Тукуман
Расінг
Бельграно
Ньюелз Олд Бойз
Барракас Сентраль
Тігре
Платенсе
Інстітуто
Сармьєнто Хунін
Уніон де Санта-Фе
Банфілд
Хімнасія Л.-П.
Сентраль Кордоба
Індепендьєнте
Велес Сарсфілд
Уракан
Колон Санта-Фе
Арсенал Саранді"
Бельгія,Ліга Жупіле,"Рояль Уніон СЖ
Андерлехт
Гент
Серкль Брюгге
Антверпен
Генк
Брюгге
Стандард
Сінт-Трейден
Мехелен
РВДМ
Шарлеруа
Ейпен
Левен
Вестерло
Кортрейк"
Бельгія,Челленджер Про Ліга,"Беєрсхот ВА
Варегем
Дейнзе
Патро Ейсден
Ломмел СК
Дендер
Андерлехт U23
РФК Льєж
Брюгге U23
СК Беверен
Льєрс
Остенде
Франк Борен
Серен Юнайтед
Стандард U23
Генк U23"
Білорусь,Вища ліга,"Динамо М.
Німан
Торпедо-БелАЗ
Іслоч Мінськ
БАТЕ
ФК Гомель
Славія Мозир
Слуцьк
ФК Мінськ
Динамо-Брест
Сморгонь
Нафтан
Шахтар Солігорськ
Белшина
Енергетик-БГУ"
Болгарія,Перша ліга,"ЦСКА Софія
Черно Море
Лудогорець
Лок. Пловдив
ЦСКА 1948 Софія
Левскі
Арда
Бероє
Ботев Пловдив
Хебар
Славія Софія
Левскі Крумовград
Лок. Софія
Пірін Благоєвград
Ботев Враца
Етар"
Боснія та Герцеговина,Premijer liga BiH,"Борац Баня-Лука
Зріньскі
ФК Сараєво
Вележ Мостар
Слога
Широкі Брієг
Железнічар
Посуше
ГОСК Габела
Ігман Коніц
Тузла Сіті
Звієзда 09"
Бразилія,Серія А,"Палмейрас
Фламенгу
Ботафогу
Атлетіку Мінейру
Греміу
Брагантіну
Флуміненсе
Атлетіко ПР
Куяба
Сан-Паулу
Інтернасьйонал
Форталеза
Крузейру
Корінтіанс
Сантос
Васку
Баїя
Гояс
Корітіба
Америка МЖ"
Бразилія,Серія Б,"Віторія
Жувентуде
Крісіума
Атлетіку Гояніенсе
Новорізонтіну
Мірасол
Спорт Ресіфі
Віла-Нова
КРБ
Гуарані
Сеара
Ботафогу СП
Аваї
Ітуано
Понте-Прета
Шапекоенсе СК
Сампайо Корреа
Томбенсе
Лондріна
АБС"
Вірменія,Прем'єр-ліга,"Пюнік Єреван
Арарат-Вірменія
Ноах
Урарту
Алашкерт
Арарат Єреван
БКМА
Західна Вірменія
Ширак Гюмрі
Ван"
Греція,Суперліга,"Панатінаїкос
Олімпіакос Пірей
AEK
ПАОК
Аріс
Ламія
ОФІ Крит
Астерас Тріполі
Пансерраїкос
Атромітос
Кіфісіас
Яніна
Волос
Панетолікос"
Грузія,Ліга Еровнулі,"Динамо Батумі
Динамо Тбілісі
Діла Горі
Торпедо Кутаїсі
Самгуралі
Сабуртало Тбілісі
Телаві
Гагра
Самтредія
Шукура"
Данія,Суперліга,"Копенгаген
Мідтьюлланн
Брондбю
Сількеборг
Норшелланн
Орхус
Віборг
Люнгбю
Оденсе
Раннерс
Вайле
Відовре ІФ"
Ізраїль,Прем'єр-ліга,"Маккабі Тель-Авів
Хапоель Хайфа
Маккабі Петах-Тіква
Маккабі Хайфа
Маккабі Бней-Райна
Хапоель Беер-Шева
Хапоель Тель-Авів
Нетанія
Сахнін
Хапоель Петах-Тіква
Хапоель Хадера
Бейтар Єрусалим
Хапоель Єрусалим
МС Ашдод"
Ісландія,Беста-дейлд карла,"Вікінгур Рейк'явік
Валюр
Брейдаблік
Стьярнан
Хапнарфйордур
КР Рейк'явік
КА Акурейрі
Коупавогур
Філкір
Фрам
Вестманнаейяр
Кеплавік"
Іспанія,Ла Ліга,"Реал Мадрид
Жирона
Атлетіко
Барселона
Атлетік
Реал Сосьєдад
Бетіс
Хетафе
Райо Вальєкано
Валенсія
Лас-Пальмас
Вільярреал
Алавес
Осасуна
Севілья
Кадіс
Мальорка
Сельта Віго
Гранада
Альмерія"
Іспанія,Ла Ліга 2,"Леганес
Спортінг Х.
Вальядолід
Еспаньйол
Ейбар
Ферроль
Расінг С.
Ельче
Леванте
Тенеріфе
Ельденсе
Реал Ов'єдо
Мірандес
Сарагоса
Бургос
Альбасете
ФК Андорра
Вільярреал B
Уеска
Аморебієта
Алькоркон
Картахена"
Італія,Серія А,"Інтер
Ювентус
Мілан
Наполі
Рома
Болонья
Аталанта
Фіорентина
Монца
Фрозіноне
Лаціо
Торіно
Лечче
Сассуоло
Дженоа
Удінезе
Кальярі
Емполі
Верона
Салернітана"
Італія,Серія Б,"Венеція
Парма
Кремонезе
Палермо
Катандзаро
Комо
Модена
Чіттаделла
Козенца
Барі
Піза
Зюдтіроль
Реджана
Сампдорія
Брешія
Асколі
Лекко
Спеція
Тернана
Фералпісало"
Казахстан,Прем'єр-ліга,"Ордабаси
ФК Астана
Актобе
Кайрат Алмати
Кизилжар
Кайсар Кизилорда
Атирау
Тобол
Мактаарал
Шахтар Караганда
Жетису Талдикорган
Окжетпес
Каспій Актау
Аксу"
Кіпр,Cyta Championship,"Аріс
АПОЕЛ
Пафос
Анортосіс
Омонія
АЕК Ларнака
Неа Саламіна
Аполлон
АЕЛ Лімасол
Ахнас
Закакіу
Отеллос Атьєну
Карміотісса
Докса"
Мексика,Ліга Прем'єр Серія А,"Чихуахуа
Лос Кабос
Алакранес де Дуранго
Текос
Оргульйо Рейноса
Коррекамінос 2
Салтільйо
УА Сакатекас
Леонес Негрос 2
Сімарронес де Сонора 2
Мінерос де Фреснільйо
Коліма
Гавіланес Матаморос
Депортіво Тепік
Трітонес Вальярта
Калор Де Сан-Педро
Аподака
Мексікалі
Порто Палмейрас
Петролерос Саламанка
Депортіва Венадос
Інтер Плая-дель-Кармен
Ірапуато
Тампіко Мадеро
Агуакатерос Перібан
Кафеталерос
Ескорпіонес
Ребосерос де Ла П'єдад
Монтаньєсес
Піонерос
Канамі
Лобос ULMX
Яльмакан
Сан-Хуан-де-Арагон
Альконенс Сапопан
Інтер Керетаро"
Молдова,Суперліга,"Шериф
Мілсамі
Зімбру Кишинів
Петрокуб
Бєльці
Буюкань
Флорешть
Спарта Селемет"
Нідерланди,Ередивізі,"ПСВ
Феєнорд
АЗ Алкмар
Твенте
Гоу Ехед Іглс
Спарта Роттердам
Херенвен
Аякс
Ексельсіор
Хераклес
Зволле
Сіттард
Алмере Сіті
Неймеген
Валвейк
Утрехт
ФК Волендам
Вітесс"
